product_name,refresh_rate,technology,resolution,size,brightness,ram,storage,features,capacity,fast_charge,wireless_charge,chipset,material,weight,dimensions,sim,gps,bluetooth,jack,wifi,nfc,id,sensors,waterproof,name,version,productId,speaker
iPhone 16 Pro Max (256GB) - Chính hãng VN/A,10-120Hz,Super Retina XDR,2868 x 1320,"6.9""",2000nits,8GB,256GB,"• Độ phóng đại quang học 5x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 10x
• Độ thu phóng kỹ thuật số lên đến 25x
• Điều Khiển Camera
• Ống kính mặc định có thể tùy chỉnh (Fusion)
• Lớp bảo vệ ống kính bằng sapphire
• Flash True Tone Thích Ứng
• Photonic Engine
• Deep Fusion
• HDR thông minh thế hệ 5
• Ảnh chân dung thế hệ mới với tính năng Lấy Nét và Điều Khiển Chiều Sâu
• Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
• Chế độ Ban Đêm
• LiDAR Scanner hỗ trợ chụp ảnh chân dung ở chế độ ban đêm
• Chụp ảnh toàn cảnh Panorama (lên đến 63MP)
• Phong Cách Nhiếp Ảnh thế hệ mới nhất
• Ảnh không gian
• Chụp ảnh macro 48MP (Ultra Wide)
• Apple ProRAW
• Chụp hình dải màu rộng cho ảnh và ảnh động Live Photos
• Hiệu chỉnh ống kính (Ultra Wide)
• Hiệu chỉnh mắt đỏ nâng cao
• Tự động chống rung hình ảnh
• Chế độ Chụp Liên Tục
• Định vị ảnh
• Định dạng của hình ảnh được chụp: HEIF, JPEG, và DNG",,"• Sạc không dây MagSafe lên đến 25W với bộ tiếp hợp 30W trở lên
• Sạc không dây Qi2 lên đến 15W
• Sạc không dây Qi lên đến 7,5W
• Khả năng sạc nhanh: Sạc lên đến 50% trong khoảng 30 phút13 với bộ tiếp hợp 20W trở lên sử dụng cáp sạc USB‑C, hoặc với bộ tiếp hợp 30W trở lên sử dụng Bộ Sạc MagSafe (tất cả được bán riêng)",True,Apple A18 Pro,"Thiết kế titan
Mặt trước Ceramic Shield thế hệ mới nhất
Mặt sau bằng kính nhám",227g,163mm x 77.6mm x 8.25mm,1 Nano SIM,False,V5.3,False,Wi‑Fi 7 (802.11be),True,0,Face ID,IP68,iOS,18,0,
iPhone 16 (128GB) - Chính hãng VN/A,60Hz,Super Retina XDR,2556 x 1179,"6.1""",2000nits,8GB,128GB,"• Chống rung quang học dịch chuyển cảm biến cho video (Fusion)
• Độ thu phóng kỹ thuật số lên đến 6x
• Phóng đại âm thanh
• Flash True Tone
• Chống rung video kỹ thuật số (4K, 1080p, và 720p)
• Video tự động lấy nét liên tiếp
• Chụp ảnh tĩnh 8MP trong khi quay video 4K
• Thu phóng khi xem
• Định dạng của video được quay: HEVC và H.264
• Âm Thanh Không Gian và thu âm stereo
• Giảm tiếng gió
• Hòa Âm
• Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x
• Độ thu phóng kỹ thuật số lên đến 10x
• Điều Khiển Camera
• Lớp bảo vệ ống kính bằng sapphire
• Photonic Engine
• Deep Fusion
• HDR thông minh thế hệ 5
• Ảnh chân dung thế hệ mới với tính năng Lấy Nét và Điều Khiển Chiều Sâu
• Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
• Chế độ Ban Đêm
• Chụp ảnh toàn cảnh Panorama (lên đến 63MP)
• Phong Cách Nhiếp Ảnh thế hệ mới nhất
• Ảnh không gian
• Chụp ảnh macro
• Chụp hình dải màu rộng cho ảnh và ảnh động Live Photos
• Hiệu chỉnh ống kính (Ultra Wide)
• Hiệu chỉnh mắt đỏ nâng cao
• Tự động chống rung hình ảnh
• Chế độ Chụp Liên Tục
• Định vị ảnh
• Định dạng của hình ảnh được chụp: HEIF và JPEG",,"• Sạc không dây MagSafe lên đến 25W với bộ tiếp hợp 30W trở lên
• Sạc không dây Qi2 lên đến 15W
• Sạc không dây Qi lên đến 7,5W1
• Khả năng sạc nhanh:
• Sạc lên đến 50% trong khoảng 30 phút với bộ tiếp hợp 20W trở lên sử dụng cáp sạc USB‑C, hoặc với bộ tiếp hợp 30W trở lên sử dụng Bộ Sạc MagSafe (tất cả được bán riêng)",True,Apple A18,"Thiết kế nhôm
Mặt trước Ceramic Shield thế hệ mới nhất
Mặt sau bằng kính pha màu",170g,147.6mm x 71.6mm x 7.80mm,1 Nano sim,False,V5.3,False,Wi‑Fi 7 (802.11be),True,1,Face ID,IP68,iOS,18,1,
Điện thoại iPhone 16e (128GB) - Chính hãng VN/A,60Hz,Super Retina XDR,2532 x 1170,"6.1""",1200nits,8GB,128GB,"Hỗ trợ quay video chậm 1080p ở tốc độ 120 fps hoặc 240 fps
• Video tua nhanh có chống rung Tua nhanh ở chế độ Ban Đêm
• Chế độ quay video QuickTak",,"• Sạc không dây MagSafe lên đến 25W với bộ tiếp hợp 30W trở lên
• Sạc không dây Qi2 lên đến 15W
• Sạc không dây Qi lên đến 7,5W1
• Khả năng sạc nhanh:
• Sạc lên đến 50% trong khoảng 30 phút với bộ tiếp hợp 20W trở lên sử dụng cáp sạc USB‑C, hoặc với bộ tiếp hợp 30W trở lên sử dụng Bộ Sạc MagSafe (tất cả được bán riêng)",True,Apple A18,,,146.7mm x 71.5mm x 7.80mm,SIM kép (nano-SIM và eSIM),False,V5.3,False,Wi‑Fi 6,True,2,Face ID,IP68,iOS,18,2,
Điện thoại iPhone 16e (256GB) - Chính hãng VN/A,60Hz,Super Retina XDR,2532 x 1170,"6.1""",1200nits,8GB,512GB,"Hỗ trợ quay video chậm 1080p ở tốc độ 120 fps hoặc 240 fps
• Video tua nhanh có chống rung Tua nhanh ở chế độ Ban Đêm
• Chế độ quay video QuickTak",,"• Sạc không dây MagSafe lên đến 25W với bộ tiếp hợp 30W trở lên
• Sạc không dây Qi2 lên đến 15W
• Sạc không dây Qi lên đến 7,5W1
• Khả năng sạc nhanh:
• Sạc lên đến 50% trong khoảng 30 phút với bộ tiếp hợp 20W trở lên sử dụng cáp sạc USB‑C, hoặc với bộ tiếp hợp 30W trở lên sử dụng Bộ Sạc MagSafe (tất cả được bán riêng)",True,Apple A18,,,146.7mm x 71.5mm x 7.80mm,SIM kép (nano-SIM và eSIM),False,V5.3,False,Wi‑Fi 6,True,3,Face ID,IP68,iOS,18,3,
Điện thoại iPhone 16e (512GB) - Chính hãng VN/A,60Hz,Super Retina XDR,2532 x 1170,"6.1""",1200nits,8GB,256GB,"Hỗ trợ quay video chậm 1080p ở tốc độ 120 fps hoặc 240 fps
• Video tua nhanh có chống rung Tua nhanh ở chế độ Ban Đêm
• Chế độ quay video QuickTak",,"• Sạc không dây MagSafe lên đến 25W với bộ tiếp hợp 30W trở lên
• Sạc không dây Qi2 lên đến 15W
• Sạc không dây Qi lên đến 7,5W1
• Khả năng sạc nhanh:
• Sạc lên đến 50% trong khoảng 30 phút với bộ tiếp hợp 20W trở lên sử dụng cáp sạc USB‑C, hoặc với bộ tiếp hợp 30W trở lên sử dụng Bộ Sạc MagSafe (tất cả được bán riêng)",True,Apple A18,,,146.7mm x 71.5mm x 7.80mm,SIM kép (nano-SIM và eSIM),False,V5.3,False,Wi‑Fi 6,True,4,Face ID,IP68,iOS,18,4,
Điện thoại iPhone 16 Pro - Chính hãng VN/A,10-120Hz,Super Retina XDR,2622 x 1206,"6.3""",2000nits,8GB,128GB,"• Độ phóng đại quang học 5x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 10x
• Độ thu phóng kỹ thuật số lên đến 25x
• Điều Khiển Camera
• Ống kính mặc định có thể tùy chỉnh (Fusion)
• Lớp bảo vệ ống kính bằng sapphire
• Flash True Tone Thích Ứng
• Photonic Engine
• Deep Fusion
• HDR thông minh thế hệ 5
• Ảnh chân dung thế hệ mới với tính năng Lấy Nét và Điều Khiển Chiều Sâu
• Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
• Chế độ Ban Đêm
• LiDAR Scanner hỗ trợ chụp ảnh chân dung ở chế độ ban đêm
• Chụp ảnh toàn cảnh Panorama (lên đến 63MP)
• Phong Cách Nhiếp Ảnh thế hệ mới nhất
• Ảnh không gian
• Chụp ảnh macro 48MP (Ultra Wide)
• Apple ProRAW
• Chụp hình dải màu rộng cho ảnh và ảnh động Live Photos
• Hiệu chỉnh ống kính (Ultra Wide)
• Hiệu chỉnh mắt đỏ nâng cao
• Tự động chống rung hình ảnh
• Chế độ Chụp Liên Tục
• Định vị ảnh
• Định dạng của hình ảnh được chụp: HEIF, JPEG, và DNG",,"• Sạc không dây MagSafe lên đến 25W với bộ tiếp hợp 30W trở lên
• Sạc không dây Qi2 lên đến 15W
• Sạc không dây Qi lên đến 7,5W
• Khả năng sạc nhanh: Sạc lên đến 50% trong khoảng 30 phút13 với bộ tiếp hợp 20W trở lên sử dụng cáp sạc USB‑C, hoặc với bộ tiếp hợp 30W trở lên sử dụng Bộ Sạc MagSafe (tất cả được bán riêng)",True,Apple A18 Pro,"Thiết kế titan
Mặt trước Ceramic Shield thế hệ mới nhất
Mặt sau bằng kính nhám",199g,149.6mm x 71.5mm x 8.25mm,1 Nano SIM,False,V5.3,False,Wi‑Fi 7 (802.11be),True,5,Face ID,IP68,iOS,18,5,
iPhone 16 Plus (128GB) - Chính hãng VN/A,60Hz,Super Retina XDR,2796 x 1290,"6.7""",2000nits,8GB,128GB,"• Chống rung quang học dịch chuyển cảm biến cho video (Fusion)
• Độ thu phóng kỹ thuật số lên đến 6x
• Phóng đại âm thanh
• Flash True Tone
• Chống rung video kỹ thuật số (4K, 1080p, và 720p)
• Video tự động lấy nét liên tiếp
• Chụp ảnh tĩnh 8MP trong khi quay video 4K
• Thu phóng khi xem
• Định dạng của video được quay: HEVC và H.264
• Âm Thanh Không Gian và thu âm stereo
• Giảm tiếng gió
• Hòa Âm
• Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x
• Độ thu phóng kỹ thuật số lên đến 10x
• Điều Khiển Camera
• Lớp bảo vệ ống kính bằng sapphire
• Photonic Engine
• Deep Fusion
• HDR thông minh thế hệ 5
• Ảnh chân dung thế hệ mới với tính năng Lấy Nét và Điều Khiển Chiều Sâu
• Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
• Chế độ Ban Đêm
• Chụp ảnh toàn cảnh Panorama (lên đến 63MP)
• Phong Cách Nhiếp Ảnh thế hệ mới nhất
• Ảnh không gian
• Chụp ảnh macro
• Chụp hình dải màu rộng cho ảnh và ảnh động Live Photos
• Hiệu chỉnh ống kính (Ultra Wide)
• Hiệu chỉnh mắt đỏ nâng cao
• Tự động chống rung hình ảnh
• Chế độ Chụp Liên Tục
• Định vị ảnh
• Định dạng của hình ảnh được chụp: HEIF và JPEG",,"• Sạc không dây MagSafe lên đến 25W với bộ tiếp hợp 30W trở lên
• Sạc không dây Qi2 lên đến 15W
• Sạc không dây Qi lên đến 7,5W1
• Khả năng sạc nhanh:
• Sạc lên đến 50% trong khoảng 30 phút với bộ tiếp hợp 20W trở lên sử dụng cáp sạc USB‑C, hoặc với bộ tiếp hợp 30W trở lên sử dụng Bộ Sạc MagSafe (tất cả được bán riêng)",True,Apple A18,"Thiết kế nhôm
Mặt trước Ceramic Shield thế hệ mới nhất
Mặt sau bằng kính pha màu",199g,160.9mm x 77.8mm x 7.80mm,1 Nano sim,False,V5.3,False,Wi‑Fi 7 (802.11be),True,6,Face ID,IP68,iOS,18,6,
iPhone 16 Pro Max (512GB) - Chính hãng VN/A,10-120Hz,Super Retina XDR,2868 x 1320,"6.9""",2000nits,8GB,512GB,"• Độ phóng đại quang học 5x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 10x
• Độ thu phóng kỹ thuật số lên đến 25x
• Điều Khiển Camera
• Ống kính mặc định có thể tùy chỉnh (Fusion)
• Lớp bảo vệ ống kính bằng sapphire
• Flash True Tone Thích Ứng
• Photonic Engine
• Deep Fusion
• HDR thông minh thế hệ 5
• Ảnh chân dung thế hệ mới với tính năng Lấy Nét và Điều Khiển Chiều Sâu
• Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
• Chế độ Ban Đêm
• LiDAR Scanner hỗ trợ chụp ảnh chân dung ở chế độ ban đêm
• Chụp ảnh toàn cảnh Panorama (lên đến 63MP)
• Phong Cách Nhiếp Ảnh thế hệ mới nhất
• Ảnh không gian
• Chụp ảnh macro 48MP (Ultra Wide)
• Apple ProRAW
• Chụp hình dải màu rộng cho ảnh và ảnh động Live Photos
• Hiệu chỉnh ống kính (Ultra Wide)
• Hiệu chỉnh mắt đỏ nâng cao
• Tự động chống rung hình ảnh
• Chế độ Chụp Liên Tục
• Định vị ảnh
• Định dạng của hình ảnh được chụp: HEIF, JPEG, và DNG",,"• Sạc không dây MagSafe lên đến 25W với bộ tiếp hợp 30W trở lên
• Sạc không dây Qi2 lên đến 15W
• Sạc không dây Qi lên đến 7,5W
• Khả năng sạc nhanh: Sạc lên đến 50% trong khoảng 30 phút13 với bộ tiếp hợp 20W trở lên sử dụng cáp sạc USB‑C, hoặc với bộ tiếp hợp 30W trở lên sử dụng Bộ Sạc MagSafe (tất cả được bán riêng)",True,Apple A18 Pro,"Thiết kế titan
Mặt trước Ceramic Shield thế hệ mới nhất
Mặt sau bằng kính nhám",227g,163mm x 77.6mm x 8.25mm,1 Nano SIM,False,V5.3,False,Wi‑Fi 7 (802.11be),True,7,Face ID,IP68,iOS,18,7,
iPhone 16 (256GB) - Chính hãng VN/A,60Hz,Super Retina XDR,2556 x 1179,"6.1""",2000nits,8GB,256GB,"• Chống rung quang học dịch chuyển cảm biến cho video (Fusion)
• Độ thu phóng kỹ thuật số lên đến 6x
• Phóng đại âm thanh
• Flash True Tone
• Chống rung video kỹ thuật số (4K, 1080p, và 720p)
• Video tự động lấy nét liên tiếp
• Chụp ảnh tĩnh 8MP trong khi quay video 4K
• Thu phóng khi xem
• Định dạng của video được quay: HEVC và H.264
• Âm Thanh Không Gian và thu âm stereo
• Giảm tiếng gió
• Hòa Âm
• Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x
• Độ thu phóng kỹ thuật số lên đến 10x
• Điều Khiển Camera
• Lớp bảo vệ ống kính bằng sapphire
• Photonic Engine
• Deep Fusion
• HDR thông minh thế hệ 5
• Ảnh chân dung thế hệ mới với tính năng Lấy Nét và Điều Khiển Chiều Sâu
• Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
• Chế độ Ban Đêm
• Chụp ảnh toàn cảnh Panorama (lên đến 63MP)
• Phong Cách Nhiếp Ảnh thế hệ mới nhất
• Ảnh không gian
• Chụp ảnh macro
• Chụp hình dải màu rộng cho ảnh và ảnh động Live Photos
• Hiệu chỉnh ống kính (Ultra Wide)
• Hiệu chỉnh mắt đỏ nâng cao
• Tự động chống rung hình ảnh
• Chế độ Chụp Liên Tục
• Định vị ảnh
• Định dạng của hình ảnh được chụp: HEIF và JPEG",,"• Sạc không dây MagSafe lên đến 25W với bộ tiếp hợp 30W trở lên
• Sạc không dây Qi2 lên đến 15W
• Sạc không dây Qi lên đến 7,5W1
• Khả năng sạc nhanh:
• Sạc lên đến 50% trong khoảng 30 phút với bộ tiếp hợp 20W trở lên sử dụng cáp sạc USB‑C, hoặc với bộ tiếp hợp 30W trở lên sử dụng Bộ Sạc MagSafe (tất cả được bán riêng)",True,Apple A18,"Thiết kế nhôm
Mặt trước Ceramic Shield thế hệ mới nhất
Mặt sau bằng kính pha màu",170g,147.6mm x 71.6mm x 7.80mm,1 Nano sim,False,V5.3,False,Wi‑Fi 7 (802.11be),True,8,Face ID,IP68,iOS,18,8,
iPhone 16 Pro (256GB) - Chính hãng VN/A,10-120Hz,Super Retina XDR,2622 x 1206,"6.3""",2000nits,8GB,256GB,"• Độ phóng đại quang học 5x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 10x
• Độ thu phóng kỹ thuật số lên đến 25x
• Điều Khiển Camera
• Ống kính mặc định có thể tùy chỉnh (Fusion)
• Lớp bảo vệ ống kính bằng sapphire
• Flash True Tone Thích Ứng
• Photonic Engine
• Deep Fusion
• HDR thông minh thế hệ 5
• Ảnh chân dung thế hệ mới với tính năng Lấy Nét và Điều Khiển Chiều Sâu
• Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
• Chế độ Ban Đêm
• LiDAR Scanner hỗ trợ chụp ảnh chân dung ở chế độ ban đêm
• Chụp ảnh toàn cảnh Panorama (lên đến 63MP)
• Phong Cách Nhiếp Ảnh thế hệ mới nhất
• Ảnh không gian
• Chụp ảnh macro 48MP (Ultra Wide)
• Apple ProRAW
• Chụp hình dải màu rộng cho ảnh và ảnh động Live Photos
• Hiệu chỉnh ống kính (Ultra Wide)
• Hiệu chỉnh mắt đỏ nâng cao
• Tự động chống rung hình ảnh
• Chế độ Chụp Liên Tục
• Định vị ảnh
• Định dạng của hình ảnh được chụp: HEIF, JPEG, và DNG",,"• Sạc không dây MagSafe lên đến 25W với bộ tiếp hợp 30W trở lên
• Sạc không dây Qi2 lên đến 15W
• Sạc không dây Qi lên đến 7,5W
• Khả năng sạc nhanh: Sạc lên đến 50% trong khoảng 30 phút13 với bộ tiếp hợp 20W trở lên sử dụng cáp sạc USB‑C, hoặc với bộ tiếp hợp 30W trở lên sử dụng Bộ Sạc MagSafe (tất cả được bán riêng)",True,Apple A18 Pro,"Thiết kế titan
Mặt trước Ceramic Shield thế hệ mới nhất
Mặt sau bằng kính nhám",199g,149.6mm x 71.5mm x 8.25mm,1 Nano SIM,False,V5.3,False,Wi‑Fi 7 (802.11be),True,9,Face ID,IP68,iOS,18,9,
iPhone 16 Plus (256GB) - Chính hãng VN/A,60Hz,Super Retina XDR,2796 x 1290,"6.7""",2000nits,8GB,128GB,"• Chống rung quang học dịch chuyển cảm biến cho video (Fusion)
• Độ thu phóng kỹ thuật số lên đến 6x
• Phóng đại âm thanh
• Flash True Tone
• Chống rung video kỹ thuật số (4K, 1080p, và 720p)
• Video tự động lấy nét liên tiếp
• Chụp ảnh tĩnh 8MP trong khi quay video 4K
• Thu phóng khi xem
• Định dạng của video được quay: HEVC và H.264
• Âm Thanh Không Gian và thu âm stereo
• Giảm tiếng gió
• Hòa Âm
• Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x
• Độ thu phóng kỹ thuật số lên đến 10x
• Điều Khiển Camera
• Lớp bảo vệ ống kính bằng sapphire
• Photonic Engine
• Deep Fusion
• HDR thông minh thế hệ 5
• Ảnh chân dung thế hệ mới với tính năng Lấy Nét và Điều Khiển Chiều Sâu
• Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
• Chế độ Ban Đêm
• Chụp ảnh toàn cảnh Panorama (lên đến 63MP)
• Phong Cách Nhiếp Ảnh thế hệ mới nhất
• Ảnh không gian
• Chụp ảnh macro
• Chụp hình dải màu rộng cho ảnh và ảnh động Live Photos
• Hiệu chỉnh ống kính (Ultra Wide)
• Hiệu chỉnh mắt đỏ nâng cao
• Tự động chống rung hình ảnh
• Chế độ Chụp Liên Tục
• Định vị ảnh
• Định dạng của hình ảnh được chụp: HEIF và JPEG",,"• Sạc không dây MagSafe lên đến 25W với bộ tiếp hợp 30W trở lên
• Sạc không dây Qi2 lên đến 15W
• Sạc không dây Qi lên đến 7,5W1
• Khả năng sạc nhanh:
• Sạc lên đến 50% trong khoảng 30 phút với bộ tiếp hợp 20W trở lên sử dụng cáp sạc USB‑C, hoặc với bộ tiếp hợp 30W trở lên sử dụng Bộ Sạc MagSafe (tất cả được bán riêng)",True,Apple A18,"Thiết kế nhôm
Mặt trước Ceramic Shield thế hệ mới nhất
Mặt sau bằng kính pha màu",199g,160.9mm x 77.8mm x 7.80mm,1 Nano sim,False,V5.3,False,Wi‑Fi 7 (802.11be),True,10,Face ID,IP68,iOS,18,10,
